Tasks,Algorithm,Makespan_Mean,Makespan_Std,Energy_Mean,Energy_Std,Reliability_Mean,Reliability_Std,Wilcoxon_p_value
50,FCFS,329.422811643193,62.50340912397525,26.003329889018815,4.031767187643748,98.6,1.6451950239004094,1.862645149230957e-09
50,RR,329.422811643193,62.50340912397525,26.003329889018815,4.031767187643748,98.6,1.6451950239004094,1.862645149230957e-09
50,Min-Min,197.72379172063253,27.15949181082246,21.967443134332935,2.267498748390374,99.86666666666666,0.49888765156985887,1.862645149230957e-09
50,IPSO,135.5039553376695,16.30791735306206,23.254788084707613,1.6457524644190369,100.0,0.0,0.0006665531545877457
50,IACO,132.45774972217265,13.613351692117064,23.69275715582822,1.7471987534000977,100.0,0.0,4.7124922275543213e-07
50,HH,128.38503310031882,12.687045592663443,23.889307994834894,1.6709394025016235,100.0,0.0,1.0
100,FCFS,679.7140656165169,133.41037883105037,51.65522607928415,8.350014956516683,98.33333333333333,1.5563490039905006,1.862645149230957e-09
100,RR,679.7140656165169,133.41037883105037,51.65522607928415,8.350014956516683,98.33333333333333,1.5563490039905006,1.862645149230957e-09
100,Min-Min,428.32866016114383,42.61837387116884,43.773232783810705,3.974500017510894,99.4,0.7118052168020873,1.862645149230957e-09
100,IPSO,333.843128996964,37.27122044094319,44.41988779631827,2.9307326532205114,99.9,0.30000000000000004,1.862645149230957e-09
100,IACO,281.9541546865328,27.51982906274443,46.31118319741937,3.2680792572969564,99.96666666666667,0.17950549357115012,0.0061949919909238815
100,HH,278.68453104298766,28.480364122741122,46.26857565714522,3.097602837164421,100.0,0.0,1.0
150,FCFS,1001.3714693825417,160.90831743840505,78.674285043649,10.131460764978815,98.11111111111111,1.277536209049315,1.862645149230957e-09
150,RR,1001.3714693825417,160.90831743840505,78.674285043649,10.131460764978815,98.11111111111111,1.277536209049315,1.862645149230957e-09
150,Min-Min,672.3535432135018,75.45202409804305,67.45268546230082,5.974009187116763,99.48888888888888,0.5072316538005922,1.862645149230957e-09
150,IPSO,569.4316970920784,65.8172775546993,67.54370872056674,4.739969192725067,99.93333333333334,0.2638742686008422,1.862645149230957e-09
150,IACO,443.4918351675723,42.27103431596789,70.25153497931797,4.216733885831827,99.97777777777777,0.1196703290474343,0.005382779985666275
150,HH,438.4539393356975,37.91112435754584,70.58807851269411,4.323903842001889,99.97777777777777,0.1196703290474343,1.0
200,FCFS,1355.5455582052705,241.5225369814429,103.25605752721869,14.950633730459032,98.26666666666667,1.116044602852214,1.862645149230957e-09
200,RR,1355.5455582052705,241.5225369814429,103.25605752721869,14.950633730459032,98.26666666666667,1.116044602852214,1.862645149230957e-09
200,Min-Min,889.4355662207568,86.27966443108944,88.03606502537382,7.18548818365192,99.43333333333334,0.6289320754704402,1.862645149230957e-09
200,IPSO,802.5718701491091,96.29821303401403,88.71783338421545,6.647450869056031,99.93333333333334,0.1699673171197595,1.862645149230957e-09
200,IACO,590.8260797630612,54.95436779509475,92.32950104777984,5.190843161061787,99.91666666666667,0.18633899812498245,0.24494642950594425
200,HH,588.0480966151206,55.118332693744634,92.04091133509753,4.832449355428099,99.98333333333333,0.08975274678557507,1.0
250,FCFS,1633.3006875074277,249.23498607367057,129.00187488383327,16.196406374677487,98.29333333333332,1.037604077778334,1.862645149230957e-09
250,RR,1633.3006875074277,249.23498607367057,129.00187488383327,16.196406374677487,98.29333333333332,1.037604077778334,1.862645149230957e-09
250,Min-Min,1111.0739195105457,111.74046305449828,111.06504329748131,9.189731206236058,99.46666666666665,0.42998707990925505,1.862645149230957e-09
250,IPSO,1044.4353337045595,125.02827117038841,111.38203867246902,8.24389641679079,99.74666666666666,0.41931160516043636,1.862645149230957e-09
250,IACO,763.9572450108143,60.238866099479004,116.78497960601258,6.564354773695044,99.90666666666667,0.1691810338726627,0.0426517054438591
250,HH,758.1472601312867,61.83873834585986,116.31621911966242,6.846880445518146,99.92000000000002,0.16000000000000225,1.0
300,FCFS,2016.255470057228,365.85267479390944,154.08539899851576,22.74413198977904,98.22222222222223,1.146115285175788,1.862645149230957e-09
300,RR,2016.255470057228,365.85267479390944,154.08539899851576,22.74413198977904,98.22222222222223,1.146115285175788,1.862645149230957e-09
300,Min-Min,1345.4092204474687,130.5117146567464,131.7517809487982,10.843441166371676,99.32222222222222,0.5054029073575186,1.862645149230957e-09
300,IPSO,1314.0688098278613,162.85496808576835,133.4443587945306,10.077132520369119,99.78888888888888,0.2916534388534828,1.862645149230957e-09
300,IACO,910.0939373670553,82.63622493834849,137.42359857245216,6.978155833220186,99.96666666666667,0.09999999999999858,0.15794767439365387
300,HH,905.5895330660109,84.08775312161961,137.2972363574343,7.112318116767502,99.95555555555556,0.1133115447465047,1.0
