Topology_M_Nodes,Tasks_N,RL_Inference_Time_ms,HH_Execution_Time_ms,RL_Solution_Fitness,HH_Solution_Fitness,Speedup_Factor
5,100,0.022299995180219412,59.93729998590425,0.0018155299010828518,0.0067791795337780675,2687.771880734304
10,100,0.019099999917671084,63.946800015401095,0.003167793156980178,0.007486990425884576,3348.000015237608
20,100,0.032199983252212405,65.3761999856215,0.0048402760907284475,0.005468005714142659,2030.317825743888
50,100,0.019400002202019095,66.46219998947345,0.0037788687552463,0.0040845643672158035,3425.8862085364226
